#lab INRiM
#s CNTArO2Etching_N1new
#t 2.78 
#d 0.5
#N 20
#hv keithley6487
#dbm 5
#Kepco acceso con FAA a 300 mK
#Voltage	Current	SD
#V	pA	pA
0.000000	0.070078	0.995452
1.000000	-0.066149	1.001140
2.000000	-0.190727	0.970389
3.000000	-0.141833	0.944018
4.000000	-0.159280	0.918068
5.000000	-0.022088	0.985128
6.000000	0.114615	0.921503
7.000000	0.032965	0.954455
8.000000	-0.163252	0.902631
9.000000	-0.068046	0.920164
10.000000	0.112029	0.869219
11.000000	0.069853	0.888069
12.000000	-0.121906	0.871536
13.000000	-0.150204	0.843463
14.000000	0.027127	0.878533
15.000000	0.110194	0.833488
16.000000	-0.045961	0.865552
17.000000	-0.145890	0.807870
18.000000	0.012750	0.836362
19.000000	0.132381	0.800420
20.000000	0.001494	0.833592
21.000000	-0.145718	0.789652
22.000000	-0.053733	0.814777
23.000000	0.110010	0.773788
24.000000	0.078563	0.778110
25.000000	-0.064951	0.752250
26.000000	-0.121779	0.733283
27.000000	0.010559	0.738697
28.000000	0.107172	0.720750
29.000000	-0.028134	0.720451
30.000000	-0.123968	0.704471
31.000000	-0.024994	0.696950
32.000000	0.100049	0.692555
33.000000	0.033748	0.687060
34.000000	-0.106796	0.677868
35.000000	-0.057182	0.667140
36.000000	0.091477	0.677485
37.000000	0.060221	0.640210
38.000000	-0.083210	0.682976
39.000000	-0.099999	0.622296
40.000000	0.054578	0.653842
41.000000	0.067342	0.608132
42.000000	-0.032118	0.646796
43.000000	-0.105725	0.571253
44.000000	-0.026839	0.645224
45.000000	0.072529	0.587601
46.000000	0.057180	0.624219
47.000000	-0.069333	0.564725
48.000000	-0.057803	0.583918
49.000000	0.053460	0.556783
50.000000	0.053917	0.583380
51.000000	-0.071157	0.538792
52.000000	-0.119190	0.556395
53.000000	-0.028910	0.531765
54.000000	-0.035607	0.535764
55.000000	-0.286501	0.529482
56.000000	-0.731224	0.517714
57.000000	-0.903789	0.505167
58.000000	-1.881998	0.526460
59.000000	-3.622107	0.632190
60.000000	-6.398386	0.507855
61.000000	-10.156490	0.524035
62.000000	-14.913530	1.078298
63.000000	-22.111540	0.564539
64.000000	-35.568510	1.043079
65.000000	-52.797860	1.463238
66.000000	-84.252950	1.801876
67.000000	-124.421300	2.963388
68.000000	-197.890200	1.498574
69.000000	-284.369900	4.189443
70.000000	-394.652400	4.371836
71.000000	-531.707800	5.050728
72.000000	-726.789200	2.917638
73.000000	-985.698100	2.233821
74.000000	-1285.080000	2.638300
75.000000	-1687.145000	3.896765
76.000000	-2193.937000	3.417637
77.000000	-2809.981000	4.183131
78.000000	-3586.761000	2.504936
79.000000	-4519.109000	6.116818
80.000000	-5625.426000	4.806231
81.000000	-6964.014000	4.221850
82.000000	-8569.956000	4.612930
83.000000	-10496.830000	7.935952
84.000000	-12733.040000	19.228860
85.000000	-16190.010000	15.814640
85.000000	-15521.280000	677.265300
84.000000	-12742.020000	6.569180
83.000000	-10494.900000	8.549959
82.000000	-8569.751000	5.352640
81.000000	-6957.332000	3.622580
80.000000	-5617.072000	2.997609
79.000000	-4498.972000	8.442715
78.000000	-3563.635000	3.953785
77.000000	-2791.307000	2.931288
76.000000	-2177.665000	2.486656
75.000000	-1673.923000	2.923833
74.000000	-1265.969000	1.352889
73.000000	-955.221500	2.541541
72.000000	-652.742900	18.810100
71.000000	-513.340200	5.812442
70.000000	-373.226900	4.864953
69.000000	-274.237200	4.114604
68.000000	-194.436200	4.661342
67.000000	-133.167400	2.614392
66.000000	-79.306880	2.730958
65.000000	-50.771930	1.345669
64.000000	-31.336080	1.011953
