#lab INRiM
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#N 20
#hv keithley6487
#dbm 5
#Kepco acceso con FAA a 30 mK
#Voltage	Current	SD
#V	pA	pA
0.000000	-0.015124	0.056821
1.000000	-0.018771	0.076733
2.000000	-0.016785	0.069587
3.000000	-0.004566	0.077178
4.000000	-0.016704	0.059099
5.000000	-0.026299	0.069509
6.000000	-0.006309	0.044740
7.000000	-0.000980	0.072818
8.000000	-0.016735	0.049504
9.000000	-0.024900	0.062152
10.000000	-0.002854	0.054632
11.000000	-0.010321	0.063521
12.000000	-0.021790	0.061709
13.000000	-0.020392	0.068789
14.000000	-0.000828	0.058463
15.000000	-0.003492	0.061871
16.000000	-0.018487	0.068611
17.000000	-0.017646	0.064756
18.000000	0.009638	0.072423
19.000000	0.002566	0.060816
20.000000	-0.020675	0.071476
21.000000	-0.014262	0.070783
22.000000	0.002739	0.082166
23.000000	0.008200	0.059914
24.000000	-0.002053	0.070575
25.000000	-0.014060	0.052844
26.000000	-0.005255	0.073362
27.000000	-0.002894	0.057124
28.000000	0.000297	0.079576
29.000000	-0.002165	0.058327
30.000000	-0.004384	0.071837
31.000000	0.001654	0.045213
32.000000	0.008919	0.074076
33.000000	-0.002986	0.061000
34.000000	0.004593	0.065304
35.000000	0.005859	0.053724
36.000000	-0.002591	0.069633
37.000000	0.011887	0.048268
38.000000	0.004279	0.068476
39.000000	0.007095	0.052836
40.000000	0.016781	0.071958
41.000000	-0.000797	0.060791
42.000000	-0.003685	0.076346
43.000000	0.002262	0.051503
44.000000	0.010834	0.074759
45.000000	0.008331	0.058836
46.000000	0.004228	0.068724
47.000000	0.009213	0.058214
48.000000	0.020105	0.079841
49.000000	0.005353	0.075298
50.000000	0.007825	0.071985
51.000000	0.006457	0.060958
52.000000	-0.016319	0.079188
53.000000	-0.035630	0.063997
54.000000	-0.126012	0.082738
55.000000	-0.256593	0.075490
56.000000	-0.558378	0.085394
57.000000	-1.028816	0.062604
58.000000	-1.858077	0.063589
59.000000	-3.238176	0.065773
60.000000	-5.632247	0.075186
61.000000	-8.965187	0.069412
62.000000	-13.957830	0.105822
63.000000	-22.939120	0.352591
64.000000	-37.422620	0.441502
65.000000	-55.445320	0.787159
66.000000	-88.112320	1.466897
67.000000	-138.830200	3.704571
68.000000	-207.487100	3.372007
69.000000	-290.508000	4.574822
70.000000	-407.365400	3.029568
71.000000	-546.504800	2.071141
72.000000	-728.141700	4.509607
73.000000	-995.673400	3.531648
74.000000	-1313.621000	1.809450
75.000000	-1743.228000	1.739830
76.000000	-2258.802000	2.443891
77.000000	-2876.836000	2.462840
78.000000	-3639.060000	5.325951
79.000000	-4581.130000	7.252881
80.000000	-5706.108000	10.854260
81.000000	-7077.061000	9.334719
82.000000	-8683.971000	4.139432
83.000000	-10621.550000	40.156280
84.000000	-12932.480000	6.762256
85.000000	-15618.300000	9.544055
